STORE_NO,DEPT_NO,CSTD_GRADE,PHASE_STARTDATE
1234,G5-AB,A1,15-Jan-24
2345,G5-CD12,B2,22-Feb-24
3456,G5-EF,C3,18-Mar-24
4567,G5-GH34,D4,25-Apr-24
5678,G5-IJ,E5,30-May-24
6789,G5-KL56,F6,14-Jun-24
1357,G5-MN,G7,19-Jul-24
2468,G5-OP78,H8,23-Aug-24
3579,G5-QR,I9,27-Sep-24
4681,G5-ST91,J1,31-Oct-24
5792,G5-UV,K2,15-Nov-24
6813,G5-WX23,L3,20-Dec-24
7924,G5-YZ,M4,25-Jan-25
8135,G5-A1B,N5,28-Feb-25
9246,G5-C2D,P6,15-Mar-25
1468,G5-E3F4,Q7,22-Apr-25
2579,G5-G4H,R8,29-May-25
3681,G5-I5J6,S9,18-Jun-25
4792,G5-K6L,T1,24-Jul-25
5813,G5-M7N8,U2,28-Aug-25
6924,G5-O8P,V3,19-Sep-25
7135,G5-Q9R1,W4,23-Oct-25
8246,G5-S1T2,X5,27-Nov-25
9357,G5-U2V,Y6,22-Dec-25
1579,G5-W3X4,Z7,26-Jan-26
2681,G5-Y4Z,A8,20-Feb-26
3792,G5-AA5,B9,27-Mar-26
4813,G5-BB67,C1,24-Apr-26
5924,G5-CC8,D2,29-May-26
6135,G5-DD89,E3,26-Jun-26
7246,G5-EE9,F4,31-Jul-26
8357,G5-FF12,G5,28-Aug-26
9468,G5-GG3,H6,25-Sep-26
1681,G5-HH45,I7,30-Oct-26
2792,G5-II6,J8,27-Nov-26
3813,G5-JJ78,K9,24-Dec-26
4924,G5-KK9,L1,28-Jan-27
5135,G5-LL23,M2,25-Feb-27
6246,G5-MM4,N3,26-Mar-27
7357,G5-NN56,P4,30-Apr-27
8468,G5-OO7,Q5,28-May-27
9579,G5-PP89,R6,25-Jun-27
1792,G5-QQ1,S7,30-Jul-27
2813,G5-RR34,T8,27-Aug-27
3924,G5-SS5,U9,24-Sep-27
4135,G5-TT67,V1,29-Oct-27
5246,G5-UU8,W2,26-Nov-27
6357,G5-VV91,X3,31-Dec-27
7468,G5-WW2,Y4,28-Jan-28
8579,G5-XX45,Z5,25-Feb-28
9681,G5-YY6,A2,31-Mar-28
1813,G5-ZZ78,B3,28-Apr-28
2924,G5-A9B1,C4,26-May-28
3135,G5-C8D2,D5,30-Jun-28
4246,G5-E7F3,E6,28-Jul-28
